,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
79,12,2013,1547.605,0.911,10912673,75,0.88,768.4,7.344463854,-0.093212382,16.20543533,4.317488114,-0.127833372,6.644310431,,,,
80,12,2014,1612.788,0.911,10966157,75,0.883,788.7,7.385719637,-0.093212382,16.21032445,4.317488114,-0.124430078,6.67038602,,,,
81,12,2015,1653.426,0.911,11034732,77,0.89,835.5,7.410604778,-0.093212382,16.21655831,4.343805422,-0.116533816,6.728030348,,,,
82,12,2016,1715.78,0.913,11095615,77,0.893,748.1,7.447623067,-0.091019398,16.22206054,4.343805422,-0.113168698,6.617536659,,,,
83,12,2017,1847.226,0.917,11143219,75,0.893,838.5,7.521440333,-0.086647807,16.22634171,4.317488114,-0.113168698,6.731614581,,,,
84,12,2018,2095.182,0.919,11204705,75,0.893,911.9,7.647395702,-0.084469157,16.23184434,4.317488114,-0.113168698,6.815530335,,,,
85,13,2012,6.892,0.648,152931,17,0.665,27.7,1.930361319,-0.433864583,11.93774212,2.833213344,-0.407968238,3.321432413,,,,
86,13,2013,7.368,0.646,156547,15,0.665,29.4,1.997146299,-0.436955775,11.96111156,2.708050201,-0.407968238,3.380994674,,,,
87,13,2014,7.464,0.647,160198,16,0.669,32.1,2.010091464,-0.435408984,11.98416583,2.772588722,-0.401971219,3.46885603,,,,
88,13,2015,7.463,0.653,163885,18,0.674,34.1,2.009957478,-0.42617815,12.00692024,2.890371758,-0.394525168,3.529297384,,,,
89,13,2016,7.571,0.648,167604,20,0.696,38.6,2.024325159,-0.433864583,12.02935933,2.995732274,-0.362405619,3.653252276,,,,
90,13,2017,7.921,0.643,171354,19,0.691,42.7,2.06951746,-0.441610555,12.05148687,2.944438979,-0.369615455,3.75419892,,,,
91,13,2018,8.05,0.645,175155,21,0.691,48.9,2.085672091,-0.438504962,12.07342658,3.044522438,-0.369615455,3.889777396,,,,
92,14,2012,38.059,0.44,4293031,36,0.433,22,3.639137587,-0.820980552,15.27250357,3.583518938,-0.837017551,3.091042453,,,,
